in individual
loaded all graphs
Implication, Type Errors Model,Def/Use Model,Errors Model,NestedIfDefModel Errors Model,Parsing Errors Model,
__CONFIG_H8S__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_GNU_GETOPT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STDIO_BUFSIZ_8192__,0,0,0,0,0,
__CONFIG_TMS320C64X__ => __TARGET_c6x__,0,0,0,0,0,
__CONFIG_GENERIC_386__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_MALLOC_DEBUGGING__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_586__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__USE_BX__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_CYRIXIII__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_CRISV32__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_PENTIUMIII__ => __TARGET_i386__,0,0,0,0,0,
__UCLIBC_USE_NETLINK__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__CONFIG_PENTIUMII__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__CONFIG_H8300H__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STDIO_BUFSIZ_512__,0,0,0,0,0,
__UCLIBC_HAS_CTYPE_ENFORCED__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_BUILD_MINIMAL_LOCALE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_arm__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_LIBRESOLV_STUB__,0,0,0,0,0,
__CONFIG_SH4__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_XLOCALE__ => __UCLIBC_HAS_CTYPE_TABLES__,1,1,0,0,0,
__DODEBUG_PT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_ia64__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__CONFIG_WINCHIP2__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__HAVE_NO_SSP__ => __HAS_NO_THREADS__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ => __ARCH_LITTLE_ENDIAN__,0,0,0,0,0,
__TARGET_c6x__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_SHA512_CRYPT_IMPL__,0,0,0,0,0,
__UCLIBC_HAS_THREADS_NATIVE__ => __UCLIBC_HAS_STDIO_FUTEXES__,0,0,0,0,0,
__CONFIG_MIPS_ISA_3__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_RESOLVER_SUPPORT__ => __UCLIBC_HAS_COMPAT_RES_STATE__,1,0,0,0,0,
__UCLIBC_HAS_SYS_ERRLIST__ => __UCLIBC_HAS_ERRNO_MESSAGES__,0,0,0,0,0,
__UCLIBC_HAS_COMPAT_RES_STATE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_PTY__,0,0,0,0,0,
__TARGET_h8300__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__COMPILE_IN_THUMB_MODE__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__UCLIBC_HAS_XLOCALE__ => __UCLIBC_HAS_LOCALE__,1,1,1,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_REENTRANT_RPC__,0,0,0,0,0,
__TARGET_nios__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_HAS_IPV4__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__HAVE_NO_PIC__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __LDSO_LDD_SUPPORT__,0,0,0,0,0,
__CONFIG_586__ => __TARGET_i386__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __DODEBUG_PT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_MIPS_ISA_3__,0,0,0,0,0,
__UCLIBC_HAS_FOPEN_LARGEFILE_MODE__ => __UCLIBC_HAS_LFS__,0,0,0,1,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_TZ_FILE_READ_MANY__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_TMS320C64XPLUS__,0,0,0,0,0,
__UCLIBC_HAS_GLOB__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_BUILD_RELRO__ => __HAVE_SHARED__,0,0,0,0,0,
__UCLIBC_HAS_EXTRA_COMPAT_RES_STATE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_CTYPE_TABLES__,1,0,0,0,0,
__TARGET_sh64__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_BUFSIZ_512__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_SYSLOG__ => __UCLIBC_HAS_SOCKET__,0,1,0,0,0,
__UCLIBC_HAS_RPC__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__UCLIBC_HAS_GLIBC_DIGIT_GROUPING__ => __UCLIBC_HAS_WCHAR__,1,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_LIBNSL_STUB__,0,0,0,0,0,
__TARGET_c6x__ => __UCLIBC_UCLINUX_BROKEN_MUNMAP__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__MALLOC_SIMPLE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_HAS_TLS__ => __UCLIBC_HAS_STDIO_FUTEXES__,0,0,0,0,0,
__UCLIBC_FORMAT_FLAT_SEP_DATA__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__LDSO_RUNPATH__ => __HAVE_SHARED__,0,0,0,0,0,
__TARGET_nios__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__UCLIBC_BUILD_MINIMAL_LOCALE__ => __UCLIBC_HAS_LOCALE__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __ARCH_WANTS_LITTLE_ENDIAN__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_NTP_LEGACY__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __ARCH_ANY_ENDIAN__,0,0,0,0,0,
__TARGET_v850__ => __ARCH_HAS_NO_MMU__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_CRYPT__,0,0,0,0,0,
__UCLIBC_HAS_LONG_DOUBLE_MATH__ => __UCLIBC_HAS_FLOATS__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __TARGET_sh__,0,0,0,0,0,
__UCLIBC_HAS_SHA512_CRYPT_IMPL__ => __UCLIBC_HAS_CRYPT__,0,0,0,1,0,
__CONFIG_MIPS_ISA_MIPS32__ => __TARGET_mips__,0,0,0,0,0,
__CONFIG_SH2__ => __TARGET_sh__,0,0,0,0,0,
__CONFIG_TMS320C64X__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_HAS_SOCKET__ => __UCLIBC_HAS_NETWORK_SUPPORT__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_PWD_BUFFER_SIZE__,0,0,0,0,0,
__TARGET_i960__ => __ARCH_HAS_NO_LDSO__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_FALLBACK_TO_ETC_LOCALTIME__,0,0,0,0,0,
__TARGET_v850__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_HAS_SHADOW__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__TARGET_ia64__ => __ARCH_HAS_NO_SHARED__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_SYS_ERRLIST__,0,0,0,0,0,
__UCLIBC_HAS_STDIO_BUILTIN_BUFFER_8__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __CONFIG_586MMX__,0,0,0,0,0,
__CONFIG_586MMX__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_WINCHIPC6__ => __FORCE_OPTIONS_FOR_ARCH__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_SIGNUM_MESSAGES__,0,0,0,0,0,
__LDSO_LDD_SUPPORT__ => __HAVE_SHARED__,0,0,0,0,0,
__UCLIBC_HAS_LIBUTIL__ => __UCLIBC_HAS_PTY__,0,0,0,0,0,
__UCLIBC_FORMAT_FLAT__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__UCLIBC_PWD_BUFFER_SIZE__ => __HAVE_DOT_CONFIG__,0,0,0,0,0,
__CONFIG_H8300H__ => __TARGET_h8300__,0,0,0,0,0,
__UCLIBC_BUILD_PIE__ => __DOPIC__,0,0,0,0,0,
__UCLIBC_FORMAT_ELF__ => __UCLIBC_HAS_STDIO_BUFSIZ_256__,0,0,0,0,0,
